date,model,jcd,rno,p,high,y,hit
20260813,m8-v1-am,06,2,0.4085,false,1,
20260813,m8-v1-am,08,7,0.4085,false,0,
20260813,m8-v1-am,16,3,0.3333,false,1,
20260813,m8-v1-am,19,6,0.3333,false,1,
20260813,m8-v1-am,19,2,0.3333,false,0,
20260813,m8-v1-am,01,1,0.3333,false,0,
20260813,m8-v1-am,21,8,0.3333,false,0,
20260813,m8-v1-am,21,6,0.2857,false,0,
20260813,m8-v1-am,19,4,0.2828,false,1,
20260813,m8-v1-am,01,9,0.2828,false,0,
20260813,m8-v1-am,06,3,0.2828,false,0,
20260813,m8-v1-am,01,3,0.2828,false,0,
20260813,m8-v1-am,07,2,0.2828,false,1,
20260813,m8-v1-am,24,3,0.2828,false,0,
20260813,m8-v1-am,06,5,0.2828,false,1,
20260813,m8-v1-am,24,6,0.2828,false,0,
20260813,m8-v1-am,13,1,0.2828,false,0,
20260813,m8-v1-am,06,9,0.2828,false,1,
20260813,m8-v1-am,02,9,0.2828,false,1,
20260813,m8-v1-am,22,5,0.2828,false,0,
20260813,m8-v1-am,24,4,0.2828,false,0,
20260813,m8-v1-am,12,2,0.2828,false,1,
20260813,m8-v1-am,04,5,0.2828,false,1,
20260813,m8-v1-am,12,4,0.2828,false,0,
20260813,m8-v1-am,02,4,0.2828,false,0,
20260813,m8-v1-am,03,5,0.2828,false,0,
20260813,m8-v1-am,03,1,0.2828,false,1,
20260813,m8-v1-am,22,6,0.2828,false,1,
20260813,m8-v1-am,24,10,0.2828,false,1,
20260813,m8-v1-am,02,1,0.2828,false,1,
20260813,m8-v1-am,03,2,0.2828,false,1,
20260813,m8-v1-am,22,4,0.2828,false,0,
20260813,m8-v1-am,16,2,0.2828,false,0,
20260813,m8-v1-am,06,6,0.2828,false,1,
20260813,m8-v1-am,22,3,0.2394,false,1,
20260813,m8-v1-am,16,5,0.2394,false,1,
20260813,m8-v1-am,24,8,0.2394,false,0,
20260813,m8-v1-am,07,1,0.2394,false,1,
20260813,m8-v1-am,04,4,0.223,false,0,
20260813,m8-v1-am,07,4,0.223,false,1,
20260813,m8-v1-am,01,4,0.223,false,0,
20260813,m8-v1-am,21,7,0.223,false,0,
20260813,m8-v1-am,16,1,0.223,false,0,
20260813,m8-v1-am,01,5,0.223,false,1,
20260813,m8-v1-am,24,5,0.223,false,0,
20260813,m8-v1-am,23,7,0.223,false,0,
20260813,m8-v1-am,12,1,0.223,false,0,
20260813,m8-v1-am,23,5,0.223,false,0,
20260813,m8-v1-am,23,8,0.1906,false,0,
20260813,m8-v1-am,19,1,0.1906,false,0,
20260813,m8-v1-am,01,10,0.1906,false,0,
20260813,m8-v1-am,23,9,0.1906,false,1,
20260813,m8-v1-am,08,5,0.1906,false,0,
20260813,m8-v1-am,22,2,0.1906,false,0,
20260813,m8-v1-am,04,6,0.1906,false,0,
20260813,m8-v1-am,23,4,0.1906,false,0,
20260813,m8-v1-am,21,2,0.1906,false,0,
20260813,m8-v1-am,08,3,0.1906,false,0,
20260813,m8-v1-am,21,9,0.1906,false,0,
20260813,m8-v1-am,16,11,0.1906,false,1,
20260813,m8-v1-am,16,4,0.1636,false,0,
